Store_ID,Product_ID,Num_Rows,R2_Trend,Trend_Type
1,1,731,1.4812116073126269e-05,Non-Linear
1,2,731,0.012735276177990973,Non-Linear
1,3,731,0.0011963537501635813,Non-Linear
1,4,731,0.0008326068997704938,Non-Linear
1,5,731,0.00017013875956950475,Non-Linear
1,6,731,9.528082595477994e-05,Non-Linear
1,7,731,0.0061591093706292455,Non-Linear
1,8,731,0.00036930359853459827,Non-Linear
1,9,731,0.009540001037288692,Non-Linear
1,10,731,0.003995123227250041,Non-Linear
1,11,731,0.004434065422100342,Non-Linear
1,12,731,0.0007042597377632243,Non-Linear
1,13,731,4.089253258787728e-06,Non-Linear
1,14,731,0.0034586090504397093,Non-Linear
1,15,731,0.00014301301466468352,Non-Linear
1,16,731,0.0055356335699733306,Non-Linear
1,17,731,0.0035551288626816113,Non-Linear
1,18,731,0.0001278674480095221,Non-Linear
1,19,731,0.0004637647652637744,Non-Linear
1,20,731,0.004594249042799481,Non-Linear
2,1,731,0.0012582290972527055,Non-Linear
2,2,731,0.0006032311647090616,Non-Linear
2,3,731,0.0011416836382148743,Non-Linear
2,4,731,0.00433725464417245,Non-Linear
2,5,731,6.80116132067976e-05,Non-Linear
2,6,731,0.005725297820337705,Non-Linear
2,7,731,0.0002500051231255629,Non-Linear
2,8,731,0.0035769792792379462,Non-Linear
2,9,731,0.0002091758918926212,Non-Linear
2,10,731,0.00028401577548653467,Non-Linear
2,11,731,0.000205083822381269,Non-Linear
2,12,731,0.0012198264903877654,Non-Linear
2,13,731,0.001681425204541509,Non-Linear
2,14,731,0.00022989329776634815,Non-Linear
2,15,731,0.0015958028686603454,Non-Linear
2,16,731,2.9213880355483113e-05,Non-Linear
2,17,731,0.0007090425818376822,Non-Linear
2,18,731,0.000411262658907674,Non-Linear
2,19,731,2.3000986892784958e-05,Non-Linear
2,20,731,1.2321209640786535e-05,Non-Linear
3,1,731,8.320755606749941e-05,Non-Linear
3,2,731,0.001871609518542372,Non-Linear
3,3,731,0.00021538716484303944,Non-Linear
3,4,731,1.1768522039101725e-05,Non-Linear
3,5,731,0.004809421226958266,Non-Linear
3,6,731,0.0026209007054489586,Non-Linear
3,7,731,3.183715089105643e-05,Non-Linear
3,8,731,0.0005910805342944636,Non-Linear
3,9,731,0.0004896151741576871,Non-Linear
3,10,731,0.0017451752982106106,Non-Linear
3,11,731,0.001072652953502895,Non-Linear
3,12,731,0.005864016759403734,Non-Linear
3,13,731,1.232442493837027e-06,Non-Linear
3,14,731,0.00010551496324073817,Non-Linear
3,15,731,0.000180980540050113,Non-Linear
3,16,731,7.77663787456806e-05,Non-Linear
3,17,731,0.0005695225987195629,Non-Linear
3,18,731,0.001372600323053419,Non-Linear
3,19,731,0.0006380020970007116,Non-Linear
3,20,731,0.0001565148389656157,Non-Linear
4,1,731,0.0006323986583507413,Non-Linear
4,2,731,0.0030181128792814427,Non-Linear
4,3,731,0.0018768675294398296,Non-Linear
4,4,731,0.003024492627691444,Non-Linear
4,5,731,0.003422225900400644,Non-Linear
4,6,731,0.0002965440232159944,Non-Linear
4,7,731,0.0034422108387948125,Non-Linear
4,8,731,0.00010799904284075623,Non-Linear
4,9,731,0.0013800479158909695,Non-Linear
4,10,731,0.0042317944045301426,Non-Linear
4,11,731,8.113739016213373e-07,Non-Linear
4,12,731,1.1591487168338688e-05,Non-Linear
4,13,731,0.002361134112535024,Non-Linear
4,14,731,0.000967583614303269,Non-Linear
4,15,731,0.0025516366383786515,Non-Linear
4,16,731,0.0009059957655963569,Non-Linear
4,17,731,0.0001462954144423323,Non-Linear
4,18,731,1.1282943977453108e-05,Non-Linear
4,19,731,4.2668299629178286e-05,Non-Linear
4,20,731,0.0009961223409210573,Non-Linear
5,1,731,0.001138861630778254,Non-Linear
5,2,731,0.0020239857405489614,Non-Linear
5,3,731,3.0094650053102967e-06,Non-Linear
5,4,731,0.0001405505261734552,Non-Linear
5,5,731,0.0006869109065714696,Non-Linear
5,6,731,0.002794095316766665,Non-Linear
5,7,731,0.0007730931890387316,Non-Linear
5,8,731,3.74429804405052e-05,Non-Linear
5,9,731,0.006345148882761831,Non-Linear
5,10,731,0.005382563627154613,Non-Linear
5,11,731,0.00028141844147555606,Non-Linear
5,12,731,0.0005550717191399324,Non-Linear
5,13,731,0.0003005376315872166,Non-Linear
5,14,731,0.001673657093557268,Non-Linear
5,15,731,0.0018116561726122526,Non-Linear
5,16,731,3.2621995617820865e-05,Non-Linear
5,17,731,0.00019844321849682434,Non-Linear
5,18,731,0.00021205823330561202,Non-Linear
5,19,731,9.277481617664396e-05,Non-Linear
5,20,731,0.0001660131305857293,Non-Linear
